Moves,Played,WhiteWins,Draws,BlackWins,AvgElo
a2a3 e7e5 e2e4 g8f6 b1c3 f8c5 f1c4 d7d6 d2d3 a7a5 g1f3 e8g8 h2h3 c7c6 e1g1 h7h6 c1e3 c5e3 f2e3 c8e6 c4e6 f7e6 d1e1 b8d7,2,0,0,2,2699.5
a2a3 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f7f5 e1g1 g8f6 d2d3 f8e7 b1d2 e8g8 c2c4 a7a5 b2b3 d7d6 c1b2 d8c8 d3d4 b8d7 f3g5 b7g2,1,0,0,1,2677.0
a2a3 g7g5 e2e4 c7c5 d2d4 c5d4 d1d4 g8f6 c1g5 b8c6 d4d3 d8b6 g5c1 f6g4 g1h3 d7d6 b1c3 g4e5 d3b5 b6b5 f1b5 c8h3 g2h3 a7a6,2,2,0,0,2812.0
a2a3 g7g6 d2d4 f8g7 e2e4 d7d6 b1c3 b8c6 c1e3 g8f6 f2f3 e7e5 d4d5 c6e7 d1d2 c7c6 g2g4 c6d5 e4d5 e8g8 h2h4 h7h5 g4g5 f6e8,2,2,0,0,2674.5
a2a3 g7g6 d2d4 f8g7 g1f3 g8f6 c1f4 f6h5 f4d2 c7c5 c2c3 d8b6 b2b4 d7d6 e2e3 a7a5 b4b5 e8g8 a3a4 e7e5 d4e5 d6e5 e3e4 f8d8,2,2,0,0,2713.5
a2a3 g7g6 d2d4 f8g7 g1f3 g8f6 g2g3 e8g8 f1g2 c7c5 d4c5 d8c7 b2b4 a7a5 c1b2 b7b6 b2e5 c7b7 f3h4 b8c6 b4b5 c6e5 g2b7 c8b7,2,2,0,0,2659.5
a2a3 g7g6 d2d4 g8f6 b1d2 d7d5 g1f3 f8g7 e2e3 e8g8 f1e2 c7c5 e1g1 c5d4 e3d4 b8c6 f1e1 e7e5 f3e5 c6d4 e2d3 f8e8 c2c3 d4c6,2,2,0,0,2660.0
a2a3 g7g6 e2e4 c7c5 b1c3 f8g7 f1c4 b8c6 d2d3 g8f6 c1g5 d7d6 g1e2 c8d7 d1d2 h7h6 g5h4 c6d4 e2d4 c5d4 c3e2 d8b6 c4b3 a8c8,2,2,0,0,2718.5
a2a3 g7g6 e2e4 c7c5 b2b4 f8g7 b1c3 d7d6 a1b1 b8c6 f1c4 g8f6 g1e2 e8g8 d2d3 b7b6 e1g1 e7e6 c4a2 c8b7 h2h3 a8c8 c1f4 h7h6,2,0,2,0,2767.0
a2a3 g7g6 e2e4 c7c5 f1c4 f8g7 b1c3 b8c6 g1e2 e7e6 d2d3 g8e7 h2h4 h7h5 c1g5 d7d6 d1d2 d8d7 c4a2 b7b6 e1c1 c8b7 c1b1 e8c8,2,2,0,0,2813.5
